epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,267.561,0.21766,0.23084,0.88478,0.9969,1,0.995,0.97034,0.1953,0.15464,0.67265,0.000222875,0.000222875,0.000222875
85,270.613,0.23208,0.2377,0.90303,0.9965,1,0.995,0.97302,0.19065,0.16154,0.66496,0.0002105,0.0002105,0.0002105
86,273.602,0.23033,0.24309,0.90069,0.99626,1,0.995,0.96989,0.20127,0.16829,0.66507,0.000198125,0.000198125,0.000198125
87,276.43,0.21148,0.2247,0.89035,0.9965,1,0.995,0.97385,0.17844,0.15816,0.66031,0.00018575,0.00018575,0.00018575
88,279.33,0.21165,0.23554,0.89143,0.9969,1,0.995,0.97322,0.17429,0.15199,0.66237,0.000173375,0.000173375,0.000173375
89,282.066,0.22168,0.22244,0.90258,0.99691,1,0.995,0.97236,0.16937,0.1513,0.66318,0.000161,0.000161,0.000161
90,284.829,0.20792,0.22556,0.88901,0.99676,1,0.995,0.97163,0.17766,0.15849,0.67003,0.000148625,0.000148625,0.000148625
91,315.926,0.1457,0.24172,0.84256,0.99674,1,0.995,0.97169,0.22527,0.16213,0.69436,0.00013625,0.00013625,0.00013625
92,318.651,0.13258,0.18806,0.83283,0.99677,1,0.995,0.97193,0.21918,0.17881,0.70877,0.000123875,0.000123875,0.000123875
93,321.399,0.12836,0.18856,0.84293,0.99673,1,0.995,0.97021,0.22783,0.19934,0.7184,0.0001115,0.0001115,0.0001115
94,324.067,0.12909,0.18031,0.84439,0.99686,1,0.995,0.96742,0.23663,0.18988,0.71525,9.9125e-05,9.9125e-05,9.9125e-05
95,326.723,0.1426,0.18608,0.84665,0.99688,1,0.995,0.96735,0.22805,0.19124,0.71184,8.675e-05,8.675e-05,8.675e-05
96,329.395,0.12086,0.17223,0.83782,0.99674,1,0.995,0.96588,0.21055,0.17636,0.70546,7.4375e-05,7.4375e-05,7.4375e-05
97,332.037,0.12522,0.16428,0.83721,0.99658,1,0.995,0.95867,0.20096,0.17339,0.69847,6.2e-05,6.2e-05,6.2e-05
98,334.761,0.12021,0.15684,0.84796,0.99644,1,0.995,0.95996,0.19614,0.165,0.68961,4.9625e-05,4.9625e-05,4.9625e-05
99,337.498,0.11617,0.15511,0.84039,0.99643,1,0.995,0.96581,0.19476,0.16511,0.68479,3.725e-05,3.725e-05,3.725e-05
100,340.215,0.11876,0.15599,0.8272,0.99641,1,0.995,0.96751,0.18909,0.16412,0.68141,2.4875e-05,2.4875e-05,2.4875e-05
